ID;Depth (m);qc (MPa);fs (kPa);u2 (kPa)
638;7.73;14.93;28.6;
638;7.74;16.56;31.4;
638;7.75;17.7;77.3;
638;7.76;19.12;137.1;
638;7.77;18.78;139.5;
638;7.78;20.14;218.2;
638;7.79;21.06;183;
638;7.8;21.9;256.7;
638;7.81;22.17;321.9;
638;7.82;19.88;329;
638;7.83;18.8;345.1;
638;7.84;17.99;378.7;
638;7.85;16.32;438.7;
638;7.86;14.46;431.7;
638;7.87;12.45;424.6;
638;7.88;11.21;420.5;
638;7.89;10.75;415.1;
638;7.9;9.42;444.4;
638;7.91;9.44;397.6;
638;7.92;9.47;0;
638;7.93;10.77;0;
638;7.94;11.96;0;
638;7.95;13.67;0;
638;7.96;14.95;0;
638;7.97;15.25;0;
638;7.98;16.31;0;
638;7.99;16.32;0;
639;0.01;0;0;
639;0.02;0.06;0;
639;0.03;0.2;0;
639;0.04;0.63;0;
639;0.05;1.25;0;
639;0.06;1.81;11.5;
639;0.07;2.39;14.3;
639;0.08;2.68;17.1;
639;0.09;3.22;19.2;
639;0.1;3.09;20;
639;0.11;2.66;21.5;
639;0.12;2.28;27.8;
639;0.13;2.19;22.7;
639;0.14;2.47;31.3;
639;0.15;2.75;39.8;
639;0.16;2.75;35;
639;0.17;3.43;30.2;
639;0.18;3.49;26.8;
639;0.19;3.62;19;
639;0.2;3.53;20.5;
639;0.21;3.71;22;
639;0.22;3.89;20.9;
639;0.23;4.21;26.5;
639;0.24;3.59;25.5;
639;0.25;3.61;24.4;
639;0.26;3.33;20.2;
639;0.27;3.23;21.4;
639;0.28;3.25;22.6;
639;0.29;3.28;39.2;
639;0.3;3.26;31.4;
639;0.31;3.43;31.1;
639;0.32;3.6;30.9;
639;0.33;3.71;27.2;
639;0.34;3.63;26.3;
639;0.35;3.57;27.2;
639;0.36;3.55;28;
639;0.37;3.55;27.7;
639;0.38;3.6;28.6;
639;0.39;3.66;29.4;
639;0.4;3.63;30.1;
639;0.41;3.81;32.1;
639;0.42;3.75;33.5;
639;0.43;3.77;39;
639;0.44;3.79;34.6;
639;0.45;3.83;30.2;
639;0.46;3.58;29;
639;0.47;3.58;30.9;
639;0.48;3.62;31.6;
639;0.49;3.66;30.8;
639;0.5;3.9;30.6;
639;0.51;3.69;31.9;
639;0.52;3.71;33.3;
639;0.53;3.81;35.9;
639;0.54;3.88;39.8;
639;0.55;3.98;43.6;
639;0.56;4.01;45.1;
639;0.57;4.04;46.6;
639;0.58;4.2;48.3;
639;0.59;4.48;53.1;
639;0.6;4.7;51.6;
639;0.61;4.19;50;
639;0.62;3.98;51;
639;0.63;3.96;48.9;
639;0.64;3.97;46.8;
639;0.65;3.98;46.5;
639;0.66;3.98;46.7;
639;0.67;4.01;44.1;
639;0.68;4.04;41.4;
639;0.69;4.08;42;
639;0.7;4.13;42.7;
639;0.71;4.31;41.4;
639;0.72;4.33;40;
639;0.73;4.47;38.4;
639;0.74;5.02;32.2;
639;0.75;5.1;33.2;
639;0.76;5.23;35.3;
639;0.77;5.34;37.5;
639;0.78;5.21;36.6;
639;0.79;5.13;35.6;
639;0.8;5.21;37.7;
639;0.81;5.3;39.7;
639;0.82;5.36;41.7;
639;0.83;5.37;43.4;
639;0.84;5.45;47.7;
639;0.85;5.63;51.9;
639;0.86;5.67;55.2;
639;0.87;5.95;59.5;
639;0.88;6.03;58;
639;0.89;5.66;58.5;
639;0.9;5.49;59;
639;0.91;5.35;59.6;
639;0.92;5.45;53.8;
639;0.93;5.55;56.5;
639;0.94;5.41;59.1;
639;0.95;5.4;62.1;
639;0.96;5.4;65.1;
639;0.97;5.41;68.9;
639;0.98;5.42;72.7;
639;0.99;5.55;69;
639;1;5.71;65.3;
639;1.01;5.64;51;
639;1.02;5.6;38.7;
639;1.03;5.63;46.8;
639;1.04;5.66;55;
639;1.05;5.71;56;
639;1.06;5.68;57;
639;1.07;5.98;57.1;
639;1.08;6.61;57.3;
639;1.09;6.68;65.8;
639;1.1;7.87;74.4;
639;1.11;8.36;72.2;
639;1.12;9.16;70;
639;1.13;9.13;79.1;
639;1.14;7.85;88.2;
639;1.15;8.16;83.1;
639;1.16;8.48;78;
639;1.17;8.78;35.9;
639;1.18;8.77;49.1;
639;1.19;8.84;62.3;
639;1.2;8.97;69.5;
639;1.21;8.73;76.7;
639;1.22;8.57;99.6;
639;1.23;9.14;102.8;
639;1.24;9.72;106.1;
639;1.25;10.37;110.9;
639;1.26;10.77;106.5;
639;1.27;10.89;102;
639;1.28;9.97;100.5;
639;1.29;10.26;99;
639;1.3;9.44;97.9;
639;1.31;8.97;90.1;
639;1.32;8.7;89.5;
639;1.33;8.16;88.9;
639;1.34;8.3;88;
639;1.35;8.44;87.1;
639;1.36;8.61;85.8;
639;1.37;8.63;84.6;
639;1.38;9.03;80.2;
639;1.39;8.52;87.4;
639;1.4;8.6;94.6;
639;1.41;8.67;95.1;
639;1.42;8.86;93.3;
639;1.43;9.39;91.6;
639;1.44;9.65;82.9;
639;1.45;9.95;87.5;
639;1.46;9.86;92.2;
639;1.47;9.3;100.8;
639;1.48;9.05;97;
639;1.49;9.02;93.2;
639;1.5;8.99;88.3;
639;1.51;9.06;83.4;
639;1.52;9;96;
639;1.53;8.94;89.8;
639;1.54;9.17;83.7;
639;1.55;8.94;84.7;
639;1.56;8.72;84.3;
639;1.57;8.76;83.9;
639;1.58;8.39;83.5;
639;1.59;7.99;83.2;
639;1.6;8;82.9;
639;1.61;8.02;84.4;
639;1.62;8.02;85.8;
639;1.63;8.02;91.2;
639;1.64;8.06;87;
639;1.65;7.91;82.9;
639;1.66;7.89;67;
639;1.67;7.88;65.5;
639;1.68;7.8;66.6;
639;1.69;7.77;67.8;
639;1.7;7.6;68.4;
639;1.71;7.35;75.3;
639;1.72;7.29;82.3;
639;1.73;7.28;71.9;
639;1.74;7.29;61.5;
639;1.75;7.31;57.6;
639;1.76;7.45;51.7;
639;1.77;7.67;45.9;
639;1.78;8.52;49.7;
639;1.79;8.76;53.5;
639;1.8;9.11;55.9;
639;1.81;6.15;54.9;
639;1.82;6.32;62;
639;1.83;6.49;59.9;
639;1.84;6.42;62.3;
639;1.85;6.27;61.9;
639;1.86;5.92;69.2;
639;1.87;5.85;78.4;
639;1.88;5.82;70.7;
639;1.89;5.87;83.7;
639;1.9;5.92;84.1;
639;1.91;6;85.9;
639;1.92;6.68;87.6;
639;1.93;7.06;85.8;
639;1.94;7.53;85.1;
639;1.95;7.81;84.4;
639;1.96;8.37;50.6;
639;1.97;8.88;77.6;
639;1.98;9.23;73.5;
639;1.99;9.95;69.4;
639;2;11.4;66.4;
639;2.01;9.7;63.4;
639;2.02;10.8;33.6;
639;2.03;11.9;3.7;
639;2.04;14.33;61.3;
639;2.05;14.73;44.9;
639;2.06;15.31;28.6;
639;2.07;16.64;52.3;
639;2.08;19.47;76.1;
639;2.09;20.14;72.3;
639;2.1;15.82;68.5;
639;2.11;15.15;100.5;
639;2.12;17.16;132.5;
639;2.13;19.16;143.6;
639;2.14;22.61;139.6;
639;2.15;23.65;135.6;
639;2.16;24.61;140.9;
639;2.17;25.99;127.5;
639;2.18;27.43;134.4;
639;2.19;29.83;131.7;
639;2.2;30.79;129.1;
639;2.21;31.07;29.9;
639;2.22;31.7;25.3;
639;2.23;32.33;28.9;
639;2.24;32.29;60.2;
639;2.25;31.4;91.4;
639;2.26;30.51;83.6;
639;2.27;31.38;75.8;
639;2.28;17.76;75;
639;2.29;12.34;77.7;
639;2.3;12.86;80.3;
639;2.31;13.37;91;
639;2.32;17.41;85.3;
639;2.33;19.42;99.8;
639;2.34;20.67;175.9;
639;2.35;20.17;189.6;
639;2.36;19.68;203.3;
639;2.37;22.47;241.6;
639;2.38;23.78;259.9;
639;2.39;25.09;264;
639;2.4;23.87;268;
639;2.41;23.75;275.7;
639;2.42;22.52;283.5;
639;2.43;17.14;290.9;
639;2.44;14.72;298.3;
639;2.45;13.78;336.4;
639;2.46;12.84;374.6;
639;2.47;12.83;455.3;
639;2.48;12.52;476.5;
639;2.49;14.03;457.6;
639;2.5;13.01;438.8;
639;2.51;13.88;458.7;
639;2.52;14.74;459.3;
639;2.53;14.65;437.7;
639;2.54;14.38;434;
639;2.55;14.09;430.3;
639;2.56;14.13;429;
639;2.57;13.48;301;
639;2.58;11.78;276.8;
639;2.59;9.42;267.7;
639;2.6;7.4;234.2;
639;2.61;6.91;223.2;
639;2.62;6.35;182.9;
639;2.63;5.88;169.2;
639;2.64;5.49;161.2;
639;2.65;5.23;160.1;
639;2.66;4.97;138.6;
639;2.67;4.96;117.2;
639;2.68;4.83;105.2;
639;2.69;4.45;101.5;
639;2.7;4.09;99.3;
639;2.71;3.9;83.8;
639;2.72;3.69;67.3;
639;2.73;3.47;65;
639;2.74;3.35;60.5;
639;2.75;3.26;60.2;
639;2.76;3.17;58.7;
639;2.77;3.07;59.3;
639;2.78;2.93;59.9;
639;2.79;2.89;60.5;
639;2.8;2.88;61;
639;2.81;2.89;62.2;
639;2.82;2.89;62.1;
639;2.83;2.92;62;
639;2.84;2.91;61.6;
639;2.85;2.92;61.2;
639;2.86;2.94;61.3;
639;2.87;2.94;61.2;
639;2.88;2.93;60.4;
639;2.89;2.91;60.8;
639;2.9;2.9;61.1;
639;2.91;2.89;61.2;
639;2.92;2.78;60.4;
639;2.93;2.51;59.5;
639;2.94;2.47;65.5;
639;2.95;2.46;66.2;
639;2.96;2.47;64.1;
639;2.97;2.48;62.1;
639;2.98;2.44;56.5;
639;2.99;2.39;53.9;
639;3;2.26;53.9;
639;3.01;2.15;53.9;
639;3.02;1.86;54.2;
639;3.03;1.79;54.4;
639;3.04;1.69;59;
639;3.05;1.58;56.9;
639;3.06;1.59;54.9;
639;3.07;1.59;51.7;
639;3.08;1.58;54.5;
639;3.09;1.54;51.7;
639;3.1;1.44;49;
639;3.11;1.44;50.6;
639;3.12;1.52;49.3;
639;3.13;1.6;48;
639;3.14;1.73;48.7;
639;3.15;1.67;49.7;
639;3.16;1.9;50.6;
639;3.17;2;50.1;
639;3.18;2;50.6;
639;3.19;2.07;49.8;
639;3.2;2.11;49.1;
639;3.21;2.15;49.3;
639;3.22;2.77;49.4;
639;3.23;3.17;68.7;
639;3.24;3.78;75.8;
639;3.25;4.34;78.1;
639;3.26;5.59;106.5;
639;3.27;6.15;97.9;
639;3.28;6.57;96.4;
639;3.29;7.54;102.7;
639;3.3;8.94;109;
639;3.31;9.31;114.1;
639;3.32;9.85;119.2;
639;3.33;8.66;119.8;
639;3.34;8.53;125.5;
639;3.35;8.68;122.6;
639;3.36;8.83;119.7;
639;3.37;8.84;111.9;
639;3.38;8.92;104.1;
639;3.39;9.01;104.8;
639;3.4;9.45;105.6;
639;3.41;9.71;108;
639;3.42;9.64;120.3;
639;3.43;9.25;117.4;
639;3.44;9.02;114.5;
639;3.45;8.79;108.4;
639;3.46;8.77;102.2;
639;3.47;8.61;105.8;
639;3.48;8.55;85.1;
639;3.49;7.34;93.1;
639;3.5;8.27;110.6;
639;3.51;9.2;112.5;
639;3.52;10.53;114.4;
639;3.53;11.55;136.9;
639;3.54;11.84;135;
639;3.55;11.8;133.2;
639;3.56;12.17;126.8;
639;3.57;12.55;124.3;
639;3.58;13.95;132.6;
639;3.59;14.29;140.8;
639;3.6;13.1;152.3;
639;3.61;12.36;152.5;
639;3.62;12.32;203.5;
639;3.63;12.9;221.3;
639;3.64;13.48;234.3;
639;3.65;12.45;247.1;
639;3.66;12.72;239.7;
639;3.67;12.99;232.2;
639;3.68;14.07;227.5;
639;3.69;14.96;159.7;
639;3.7;15.25;132.6;
639;3.71;15.09;144.6;
639;3.72;14.4;129.1;
639;3.73;14.59;115.4;
639;3.74;14.45;109.3;
639;3.75;14.32;112;
639;3.76;14.37;108.5;
639;3.77;12.71;111.7;
639;3.78;11.47;113.2;
639;3.79;9.99;114.7;
639;3.8;9.41;123.6;
639;3.81;9.22;132.5;
639;3.82;9.27;130.9;
639;3.83;9.32;137.1;
639;3.84;9.79;151.9;
639;3.85;9.82;166.6;
639;3.86;9.97;161.5;
639;3.87;10.31;156.3;
639;3.88;10.47;147;
639;3.89;10.72;137.7;
639;3.9;11.12;145.7;
639;3.91;11.76;145.9;
639;3.92;12.12;146;
639;3.93;12.7;148.5;
639;3.94;13.17;146.1;
639;3.95;13.59;143.7;
639;3.96;14.59;145.1;
639;3.97;15.11;144.3;
639;3.98;15.7;143.6;
639;3.99;17.36;133.4;
639;4;18.83;131.6;
639;4.01;19.23;158.5;
639;4.02;20.1;166.9;
639;4.03;21.05;166.7;
639;4.04;21.62;166.5;
639;4.05;23.24;161.5;
639;4.06;23.95;156.6;
639;4.07;23.19;153.5;
639;4.08;22.56;162.2;
639;4.09;22.02;170.8;
639;4.1;21.93;183.9;
639;4.11;22.16;176.2;
639;4.12;22.39;195.1;
639;4.13;22.73;191.8;
639;4.14;22.93;302.7;
639;4.15;23.31;313.9;
639;4.16;23.44;333.1;
639;4.17;23.62;332.4;
639;4.18;24.72;331.8;
639;4.19;22.59;325.3;
639;4.2;21.59;325.2;
639;4.21;19.53;325.1;
639;4.22;19.35;324.1;
639;4.23;18.53;323;
639;4.24;18.31;307.6;
639;4.25;17.94;292.2;
639;4.26;16.74;307.4;
639;4.27;16.18;288.6;
639;4.28;16.12;277.5;
639;4.29;16.45;269.6;
639;4.3;16.79;261.7;
639;4.31;16.6;215.7;
639;4.32;16.76;204.8;
639;4.33;16.75;181.2;
639;4.34;17.12;213;
639;4.35;17.48;185.2;
639;4.36;17.81;179.5;
639;4.37;18.89;184.7;
639;4.38;19.68;189.8;
639;4.39;19.87;212.2;
639;4.4;20.41;221.2;
639;4.41;20.76;227.8;
639;4.42;18.23;232.9;
639;4.43;16.97;264.2;
639;4.44;15.86;265.6;
639;4.45;14.82;266.8;
639;4.46;14.69;267.4;
639;4.47;14.56;130.6;
639;4.48;14.55;127;
639;4.49;13.71;186.5;
639;4.5;12.17;197.8;
639;4.51;12.05;209.1;
639;4.52;12.08;213.2;
639;4.53;12.11;210.4;
639;4.54;12.48;207.6;
639;4.55;8.28;202.9;
639;4.56;9.02;201.5;
639;4.57;9.77;193.7;
639;4.58;10.5;166.8;
639;4.59;10.91;150.3;
639;4.6;11.72;138.7;
639;4.61;11.88;145.6;
639;4.62;11.99;134.7;
639;4.63;11.9;136.4;
639;4.64;11.77;125.6;
639;4.65;11.52;119.2;
639;4.66;11.57;112.7;
639;4.67;11.63;111.9;
639;4.68;11.83;108.9;
639;4.69;13.06;108.8;
639;4.7;13.27;108.9;
639;4.71;13.35;108.9;
639;4.72;13.33;109.4;
639;4.73;13.18;114.9;
639;4.74;13.03;117.3;
639;4.75;12.96;123.3;
639;4.76;12.85;129.3;
639;4.77;12.65;133.2;
639;4.78;12.45;140.2;
639;4.79;12.5;140.3;
639;4.8;12.36;140.3;
639;4.81;12.35;145.7;
639;4.82;11.88;147.1;
639;4.83;11.34;142.8;
639;4.84;10.75;144.3;
639;4.85;10.68;145.8;
639;4.86;10.87;145.5;
639;4.87;10.54;145.1;
639;4.88;10.34;138.6;
639;4.89;10.08;132.2;
639;4.9;10.09;135.1;
639;4.91;10.11;114.5;
639;4.92;10.16;127.9;
639;4.93;10.22;120.2;
639;4.94;10.73;112.4;
639;4.95;11.12;124.6;
639;4.96;11.11;136.7;
639;4.97;11.82;136.7;
639;4.98;12.68;139.1;
639;4.99;11.24;131.7;
639;5;10.82;130.3;
639;5.01;9.68;140.8;
639;5.02;9.12;151.3;
639;5.03;8.85;151.4;
639;5.04;8.89;181.9;
639;5.05;8.92;194;
639;5.06;9.77;194.9;
639;5.07;10.78;189.4;
639;5.08;10.05;183.8;
639;5.09;9.58;184;
639;5.1;9.7;184.2;
639;5.11;9.45;184.4;
639;5.12;8.79;180.2;
639;5.13;8.61;175.9;
639;5.14;8.66;154.8;
639;5.15;8.71;154.2;
639;5.16;8.88;141.7;
639;5.17;8.54;139.7;
639;5.18;8.54;138.8;
639;5.19;8.55;135.8;
639;5.2;8.72;132.8;
639;5.21;8.96;126.4;
639;5.22;9;120;
639;5.23;9.18;85.2;
639;5.24;9.36;73.4;
639;5.25;9.9;77.6;
639;5.26;9.94;77.1;
639;5.27;9.99;76.7;
639;5.28;9.96;77.6;
639;5.29;10.07;79.8;
639;5.3;10.29;82;
639;5.31;10.52;76.7;
639;5.32;10.67;71.4;
639;5.33;11.18;75;
639;5.34;11.44;73.7;
639;5.35;11.63;75;
639;5.36;11.69;76.3;
639;5.37;11.55;79.6;
639;5.38;11.41;78.5;
639;5.39;11.3;77.3;
639;5.4;11.11;79.2;
639;5.41;10.79;77.6;
639;5.42;10.55;77.1;
639;5.43;9.95;80.8;
639;5.44;9.75;84.5;
639;5.45;9.58;81.3;
639;5.46;9.48;87.1;
639;5.47;8.99;92.9;
639;5.48;8.83;95.2;
639;5.49;8.9;99.9;
639;5.5;8.74;95.6;
639;5.51;8.26;91.3;
639;5.52;7.9;85.5;
639;5.53;7.36;79.6;
639;5.54;7.23;118;
639;5.55;7.23;119.2;
639;5.56;7.47;70.9;
639;5.57;7.7;73.4;
639;5.58;11.11;75.9;
639;5.59;13.46;92.3;
639;5.6;11.76;137.6;
639;5.61;10.53;132.6;
639;5.62;9.48;135.4;
639;5.63;8.54;127.3;
639;5.64;8.32;119.3;
639;5.65;8.6;127;
639;5.66;8.89;119.1;
639;5.67;10.44;131.9;
639;5.68;11.73;144.7;
639;5.69;13.16;107.1;
639;5.7;14.04;125.7;
639;5.71;14.22;126.8;
639;5.72;15.25;127.8;
639;5.73;16.8;144.7;
639;5.74;17.06;161.6;
639;5.75;17.5;174;
639;5.76;18.02;198.7;
639;5.77;19.45;309.2;
639;5.78;19.81;307;
639;5.79;19.77;304.8;
639;5.8;20.49;256.1;
639;5.81;20.21;243.2;
639;5.82;20.44;145.2;
639;5.83;21.21;152.3;
639;5.84;25.79;159.3;
639;5.85;25.64;181.7;
639;5.86;25.52;175.8;
639;5.87;25.4;213.4;
639;5.88;25.62;194.7;
639;5.89;25.37;237.7;
639;5.9;24.1;259.4;
639;5.91;22.2;256.3;
639;5.92;22.95;260.7;
639;5.93;21.84;265.1;
639;5.94;20.74;266.1;
639;5.95;20.72;267.1;
639;5.96;19.14;267.7;
639;5.97;18.75;273.6;
639;5.98;18.02;298.1;
639;5.99;11.94;297.1;
639;6;11.76;296;
639;6.01;11.84;271.1;
639;6.02;11.92;262.5;
639;6.03;11.87;253.9;
639;6.04;11.13;261.8;
639;6.05;10.51;242.7;
639;6.06;10.01;219.4;
639;6.07;10.26;216.7;
639;6.08;9.37;217.4;
639;6.09;9.07;186.6;
639;6.1;8.96;174.6;
639;6.11;8.7;170.4;
639;6.12;8.27;173.7;
639;6.13;8.12;177;
639;6.14;7.78;163.5;
639;6.15;7.72;149.9;
639;6.16;7.67;157.5;
639;6.17;7.74;158.7;
639;6.18;7.64;159.9;
639;6.19;7.56;161;
639;6.2;7.76;156.6;
639;6.21;7.96;158.1;
639;6.22;8.33;155.5;
639;6.23;8.83;156.2;
639;6.24;9.78;155.5;
639;6.25;10.12;154.8;
639;6.26;10.2;151.6;
639;6.27;10.4;151.1;
639;6.28;10.77;150.7;
639;6.29;11.09;149.4;
639;6.3;11.36;147.9;
639;6.31;11.51;148.3;
639;6.32;11.72;145.4;
639;6.33;11.73;142.7;
639;6.34;11.84;141.6;
639;6.35;11.92;143.7;
639;6.36;11.92;145.8;
639;6.37;11.92;145.3;
639;6.38;11.93;144.9;
639;6.39;12.04;148.8;
639;6.4;12.32;152.6;
639;6.41;12.58;148.3;
639;6.42;12.47;139.7;
639;6.43;12.61;147.4;
639;6.44;12.74;155;
639;6.45;12.85;157.1;
639;6.46;12.56;177.8;
639;6.47;12.47;178.9;
639;6.48;12.67;177.1;
639;6.49;12.87;178.1;
639;6.5;12.63;179.1;
639;6.51;12.43;183.9;
639;6.52;12.47;191.4;
639;6.53;12.52;198.8;
639;6.54;12.72;190.4;
639;6.55;12.46;192.9;
639;6.56;12.43;195.3;
639;6.57;12.41;203.8;
639;6.58;12.47;214.7;
639;6.59;12.5;219.6;
639;6.6;12.53;58.9;
639;6.61;12.77;85;
639;6.62;12.64;111.1;
639;6.63;13.01;221.1;
639;6.64;13.39;138.2;
639;6.65;13.61;165;
639;6.66;13.77;163.3;
639;6.67;13.76;161.6;
639;6.68;9.26;164.3;
639;6.69;9.01;167;
639;6.7;10.19;166.4;
639;6.71;11.36;169.8;
639;6.72;15.37;175.3;
639;6.73;16.21;174.6;
639;6.74;17.13;173.8;
639;6.75;17.06;173.7;
639;6.76;16.56;175.7;
639;6.77;16.27;177.7;
639;6.78;15.67;176.6;
639;6.79;15.44;175.5;
639;6.8;15.17;175.5;
639;6.81;14.8;167.6;
639;6.82;14.45;158.7;
639;6.83;14.47;149.8;
639;6.84;14.12;151;
639;6.85;13.57;145.8;
639;6.86;13.5;129.5;
639;6.87;13.44;126.8;
639;6.88;13.57;124.6;
639;6.89;13.16;122.1;
639;6.9;13.13;119.6;
639;6.91;13.15;117.4;
639;6.92;13.18;117.3;
639;6.93;13.41;117.1;
639;6.94;13.32;122.2;
639;6.95;13.33;127.3;
639;6.96;13.34;125.2;
639;6.97;13.58;136.4;
639;6.98;13.66;141.6;
639;6.99;13.63;144.6;
639;7;13.64;167.1;
639;7.01;13.8;153.5;
639;7.02;14.26;160.3;
639;7.03;14.53;167.1;
639;7.04;14.38;172.7;
639;7.05;14.53;192.7;
639;7.06;14.69;192.7;
639;7.07;15;191.8;
639;7.08;15.29;190.8;
639;7.09;14.89;189.2;
639;7.1;14.49;184.7;
639;7.11;13.86;180.6;
639;7.12;13.18;176.5;
639;7.13;13.02;176.5;
639;7.14;12.93;170.8;
639;7.15;12.72;174.3;
639;7.16;12.6;151.7;
639;7.17;12.27;155.3;
639;7.18;12.02;149.1;
639;7.19;11.91;134.8;
639;7.2;11.67;129.5;
639;7.21;11.64;130.2;
639;7.22;11.36;130.9;
639;7.23;11.35;132.8;
639;7.24;11.24;136.8;
639;7.25;11.31;140.7;
639;7.26;11.1;139.7;
639;7.27;10.44;138.2;
639;7.28;10.28;136.8;
639;7.29;9.88;140.3;
639;7.3;9.73;143.8;
639;7.31;9.66;146.4;
639;7.32;9.4;149;
639;7.33;6.88;146.8;
639;7.34;6.75;150.9;
639;7.35;6.61;155;
639;7.36;6.13;154.8;
639;7.37;5.83;160.4;
639;7.38;5.61;150.7;
639;7.39;5.5;150.9;
639;7.4;5.19;148.7;
639;7.41;5;146.5;
639;7.42;4.71;154.3;
639;7.43;4.55;162.1;
639;7.44;4.41;165.7;
639;7.45;4.1;154.2;
639;7.46;4.13;150.7;
639;7.47;4.04;147.1;
639;7.48;4.15;124.2;
639;7.49;4.25;126.8;
639;7.5;4.61;129.4;
639;7.51;5.46;150.3;
639;7.52;6.42;145.8;
639;7.53;10.28;153.1;
639;7.54;11.13;147.1;
639;7.55;12.51;141;
639;7.56;13.7;149.7;
639;7.57;15.34;150.1;
639;7.58;21.26;149.5;
639;7.59;20.93;149;
639;7.6;21.24;151;
639;7.61;23.02;153.1;
639;7.62;24.91;193.6;
639;7.63;25.14;199.5;
639;7.64;25.22;203.6;
639;7.65;25.29;196.6;
639;7.66;27.98;180.4;
639;7.67;27.34;186.3;
639;7.68;27.43;192.3;
639;7.69;25.89;200.3;
639;7.7;24.79;208.3;
639;7.71;24.69;227.6;
639;7.72;25.13;208;
639;7.73;23.85;188.4;
639;7.74;17.64;186.3;
639;7.75;14.9;182.3;
639;7.76;14.32;199.7;
639;7.77;14.84;194.9;
639;7.78;15.37;200.3;
639;7.79;16.81;205.6;
639;7.8;22.51;218.7;
639;7.81;22.75;231.7;
639;7.82;22.91;257.4;
639;7.83;22.64;251.6;
639;7.84;21.35;245.8;
639;7.85;21.01;206.9;
639;7.86;20.8;218.4;
639;7.87;20.25;214.8;
639;7.88;19.71;211.1;
639;7.89;19.31;211.7;
639;7.9;18.48;212.2;
639;7.91;18.13;210.9;
639;7.92;18.07;211.1;
639;7.93;17.86;211.4;
639;7.94;17.81;197.7;
639;7.95;17.48;183.9;
639;7.96;17.47;180.7;
639;7.97;17.8;180.9;
639;7.98;18.12;181;
639;7.99;18.05;185.8;
639;8;18.07;177.9;
639;8.01;18.24;170;
639;8.02;17.49;160.2;
639;8.03;17.53;158.5;
639;8.04;17.08;154.4;
639;8.05;16.66;135.9;
639;8.06;16.12;137.7;
639;8.07;15.92;133.1;
639;8.08;15.34;128.9;
639;8.09;15.01;130.7;
639;8.1;14.69;129;
639;8.11;14.67;127.3;
639;8.12;14.43;123.3;
639;8.13;14.46;118.5;
639;8.14;14.47;122.7;
639;8.15;14.49;122;
639;8.16;14.74;121.3;
639;8.17;15;114.9;
639;8.18;15.35;110.3;
639;8.19;16.23;114.8;
639;8.2;16.22;119.2;
639;8.21;16.26;129.5;
639;8.22;16.43;140.1;
639;8.23;17;132.3;
639;8.24;17.27;136.5;
639;8.25;17.19;136;
639;8.26;16.77;135.5;
639;8.27;15.9;140;
639;8.28;16;143.7;
639;8.29;16.1;147.3;
639;8.3;16.65;144.3;
639;8.31;17.45;154.2;
639;8.32;17.79;172.1;
639;8.33;17.62;173.1;
639;8.34;17.68;175.5;
639;8.35;17.75;177.9;
639;8.36;17.74;178.9;
639;8.37;17.55;178;
639;8.38;17.26;177.1;
639;8.39;17.27;185.8;
639;8.4;17.28;194.6;
639;8.41;17.25;207.4;
639;8.42;17.23;215.7;
639;8.43;17.21;225.1;
639;8.44;17.19;226.8;
639;8.45;16.54;229.4;
639;8.46;15.45;229.4;
639;8.47;14.71;228.3;
639;8.48;13.54;227.2;
639;8.49;12.87;225;
639;8.5;12.19;223.6;
639;8.51;11.68;222.8;
639;8.52;10.98;222.9;
639;8.53;9.86;223;
639;8.54;9.37;217.3;
639;8.55;9.01;211.7;
639;8.56;8.77;187.2;
639;8.57;8.34;189.4;
639;8.58;8.25;186.6;
639;8.59;8.11;183.9;
639;8.6;7.92;149.3;
639;8.61;7.67;134.1;
639;8.62;7.78;139;
639;8.63;7.54;130.7;
639;8.64;7.32;122.4;
639;8.65;6.84;121.2;
639;8.66;6.77;118.3;
639;8.67;6.8;111.4;
639;8.68;6.75;100.9;
639;8.69;6.41;94.3;
639;8.7;5.79;88.3;
639;8.71;5.63;85.8;
639;8.72;5.47;85.8;
639;8.73;5.35;82.6;
639;8.74;5.25;80.7;
639;8.75;5.09;74;
639;8.76;4.86;77.4;
639;8.77;4.75;77.6;
639;8.78;4.54;77.9;
639;8.79;4.41;78.8;
639;8.8;4.38;78.5;
639;8.81;4.44;83.9;
639;8.82;4.51;80.6;
639;8.83;4.35;81.3;
639;8.84;4.34;81.6;
639;8.85;4.35;81.9;
639;8.86;4.36;83.9;
639;8.87;4.64;86;
639;8.88;5.05;89;
639;8.89;5.25;91.5;
639;8.9;5.49;94.3;
639;8.91;5.87;97.1;
639;8.92;6.44;93.9;
639;8.93;7.07;90.7;
639;8.94;7.68;92.2;
639;8.95;8.34;91.4;
639;8.96;9.14;90.6;
639;8.97;9.84;101.3;
639;8.98;10.54;100.8;
639;8.99;11.55;100.4;
639;9;12.7;101.9;
639;9.01;14.88;103.4;
639;9.02;15.58;119.3;
639;9.03;16.24;119.1;
639;9.04;16.6;125.8;
639;9.05;17.17;129.6;
639;9.06;17.78;124.1;
639;9.07;18.13;122.3;
639;9.08;18.54;120.5;
639;9.09;18.39;122.8;
639;9.1;18.83;128.4;
639;9.11;18.68;134;
639;9.12;18.75;135.3;
639;9.13;18.77;135.6;
639;9.14;19.02;156.5;
639;9.15;19.05;151.5;
639;9.16;18.93;159.3;
639;9.17;18.98;156.7;
639;9.18;18.9;171.7;
639;9.19;18.54;163.6;
639;9.2;18.04;175.8;
