ID;X;Y;Z
BHD2266;293908.71;855806.8;31.78
BHD2267;293946.88;855752.66;33.57
BHD2267A;293946.43;855757.24;33.17
BHD2268;294026.72;855681.17;38.98
BHD2269;293103.32;855802.04;43.37
BHD2270;293803.91;855673.39;32.01
BHD2271;293821.35;855710.09;31.74
BHD2350;294024.32;855840.67;31.47
BHD2350A;294024.38;855838.83;31.47
BHD2351;294038.09;855799.34;32.7
BHD2352;294156.1;855783.44;38.27
BHD2353;294176.21;855712.31;41.43
BHD2354;294126.95;855864.79;31.7
BHD2354A;294125.42;855863.56;31.69
BHD2355;294243.47;855905.98;33.09
BHD2356;294397.71;855850.91;35.08
BHD2357;294445;855849.9;35.58
BHD2358;294549.68;855937.76;39.81
BHD2359;294561.34;855890.33;40.38
BHD2360;294733.63;856051.61;47.17
BHD2361;294868.81;856061.41;48.62
BHD2362;294936.36;856140.67;47.93
BHD2363;294961.99;856093.42;48.61
BHD2364;294963.14;856089;48.75
BHD2365;294968.35;856080.37;48.9
BHD2366;295151.99;856226.65;48
BHD2367;295206.04;856265.32;46.9
BHD2368;295287.44;856268.6;46.27
BHD2369;294861.7;856083.56;48.22
BHD2370;294880.11;856041.19;49.08
