ID;Depth from;Depth to;Recovery;Test Type;Sampling Description;SPT-N;PP;TV;VST, Peak;VST, Residual
BHD1450;1.2;;;SPT;1.20m: (7, 10, 6) N=16;16;;;;
BHD1450;1.7;;;SPT;1.70m: (17, 13, 20) N=33;33;;;;
BHD1450;2.3;;;SPT;2.30m: (11, 11, 13) N=24;24;;;;
BHD1450;3.3;;;SPT;3.30m: (15, 11, 10) N=21;21;;;;
BHD1450;4.35;;;SPT;4.35m: (10, 13, 10) N=23;23;;;;
BHD1450;5.35;;;SPT;5.35m: (8, 16, 10) N=26;26;;;;
BHD1451;1.2;;;SPT;1.20m: (13, 24, 21) N=45;45;;;;
BHD1451;3.2;;;SPT;3.20m: (25, 78/150) N>50;>50;;;;
BHD1451;4.2;;;SPT;4.20m: (26, 74/150) N>50;>50;;;;
BHD1451;5.2;;;SPT;5.20m: (25, 50/75) N>50;>50;;;;
BHD1451;6.2;;;SPT;6.20m: (39, 50/75) N>50;>50;;;;
BHD1451;7.2;;;SPT;7.20m: (25, 37, 39) N>50;>50;;;;
BHD1451;9.2;;;SPT;9.20m: (24, 44, 50) N>50;>50;;;;
BHD1451;11.2;;;SPT;11.20m: (25, 35, 43) N>50;>50;;;;
BHD1451;11.8;;;SPT;11.80m: (41/150) N>50;>50;;;;
BHD1452;1.2;;;SPT;1.20m: (25, 50/70) N>50;>50;;;;
BHD1452;2.7;;;SPT;2.70m: (18, 41, 9/35) N>50;>50;;;;
BHD1452;4.2;;;SPT;4.20m: (11, 18, 26/145) N>50;>50;;;;
BHD1452;5.7;;;SPT;5.70m: (25, 50/70) N>50;>50;;;;
BHD1452;7.2;;;SPT;7.20m: (9, 33, 17/75) N>50;>50;;;;
BHD1452;8.7;;;SPT;8.70m: (22, 31, 19/25) N>50;>50;;;;
BHD1452;10.2;;;SPT;10.20m: (4, 19, 31/75) N>50;>50;;;;
BHD1453;1.2;;;SPT;1.20m: (5, 10, 26) N=36;36;;;;
BHD1453;2.2;;;SPT;2.20m: (7, 11, 10) N=21;21;;;;
BHD1453;3.2;;;SPT;3.20m: (38, 57, 50/75) N>50;>50;;;;
BHD1453;4.2;;;SPT;4.20m: (12, 36, 43) N>50;>50;;;;
BHD1453;5.2;;;SPT;5.20m: (20, 37, 23) N>50;>50;;;;
BHD1453;6.3;;;SPT;6.30m: (50/75) N>50;>50;;;;
BHD1453;7.8;;;SPT;7.80m: (10, 28, 12) N=40;40;;;;
BHD1454;1.2;;;SPT;1.20m: (10, 11, 13) N=24;24;;;;
BHD1454;1.9;;;SPT;1.90m: (14, 24, 24) N=48;48;;;;
BHD1454;3;;;SPT;3.00m: (25, 50/125) N>50;>50;;;;
BHD1454;4;;;SPT;4.00m: (19, 45/150) N>50;>50;;;;
BHD1454;5.25;;;SPT;5.25m: (25/0) N>50;>50;;;;
BHD1454;5.6;;;SPT;5.60m: (14, 21, 25) N=46;46;;;;
BHD1455;1.2;;;SPT;1.20m: (21, 50/145) N>50;>50;;;;
BHD1455;2.7;;;SPT;2.70m: (25, 50/105) N>50;>50;;;;
BHD1455;4.2;;;SPT;4.20m: (7, 16, 29) N=45;45;;;;
BHD1455;5.7;;;SPT;5.70m: (25, 50/140) N>50;>50;;;;
BHD1455;7.2;;;SPT;7.20m: (25, 50/120) N>50;>50;;;;
BHD1456;1.2;;;SPT;1.20m: (11, 24, 23) N=47;47;;;;
BHD1456;2.7;;;SPT;2.70m: (16, 23, 27) N=50;50;;;;
BHD1456;4.2;;;SPT;4.20m: (25, 41, 9/45) N>50;>50;;;;
BHD1456;5.7;;;SPT;5.70m: (16, 29, 21/100) N>50;>50;;;;
BHD1457;1.2;;;SPT;1.20m: (15, 21, 22) N=43;43;;;;
BHD1457;2.2;;;SPT;2.20m: (45/150) N>50;>50;;;;
