ID;Depth from;Depth to;Recovery;Test Type;Sampling Description;SPT-N;PP;TV;VST, Peak;VST, Residual
BHD1457;3.2;;;SPT;3.20m: (13, 15, 13) N=28;28;;;;
BHD1457;4.2;;;SPT;4.20m: (16, 17, 16) N=33;33;;;;
BHD1457;5.2;;;SPT;5.20m: (21, 22, 24) N=46;46;;;;
BHD1458;1.2;;;SPT;1.20m: (6, 11, 8) N=19;19;;;;
BHD1458;2.2;;;SPT;2.20m: (7, 8, 11) N=19;19;;;;
BHD1458;3.2;;;SPT;3.20m: (8, 12, 12) N=24;24;;;;
BHD1458;4.2;;;SPT;4.20m: (13, 15, 15) N=30;30;;;;
BHD1458;5.2;;;SPT;5.20m: (23, 22, 27) N=49;49;;;;
BHD1459;1.2;;;SPT;1.20m: (12, 18, 24) N=42;42;;;;
BHD1459;2.2;;;SPT;2.20m: (45, 50/75) N>50;>50;;;;
BHD1459;3.2;;;SPT;3.20m: (8, 18, 27) N=45;45;;;;
BHD1459;4.2;;;SPT;4.20m: (8, 15, 19) N=34;34;;;;
BHD1459;5.2;;;SPT;5.20m: (26, 26, 26) N>50;>50;;;;
BHD1460;1.2;;;SPT;1.20m: (8, 13, 15) N=28;28;;;;
BHD1460;2.2;;;SPT;2.20m: (13, 22, 28/95) N>50;>50;;;;
BHD1460;2.8;;;SPT;2.80m: (25, 50/25) N>50;>50;;;;
BHD1460;3.3;;;SPT;3.30m: (23, 50/120) N>50;>50;;;;
BHD1460;4.3;;;SPT;4.30m: (25/0) N>50;>50;;;;
BHD1460;5.3;;;SPT;5.30m: (25, 50/100) N>50;>50;;;;
BHD1460;6.5;;;SPT;6.50m: (23, 50/125) N>50;>50;;;;
BHD1460;7.8;;;SPT;7.80m: (23, 50/100) N>50;>50;;;;
BHD1461;1.2;;;SPT;1.20m: (7, 9, 7) N=16;16;;;;
BHD1461;2.2;;;SPT;2.20m: (9, 17, 27) N=44;44;;;;
BHD1461;3.3;;;SPT;3.30m: (20, 37, 13/20) N>50;>50;;;;
BHD1461;4.3;;;SPT;4.30m: (20, 12, 9) N=21;21;;;;
BHD1461;5;;;SPT;5.00m: (7, 9, 22) N=31;31;;;;
BHD1461;6;;;SPT;6.00m: (16, 37, 13/20) N>50;>50;;;;
BHD1461;9.05;;;SPT;9.05m: (15, 18, 30) N=48;48;;;;
BHD1461;9.8;;;SPT;9.80m: (25/20) N>50;>50;;;;
BHD1462;1.2;;;SPT;1.20m: (9, 14, 11) N=25;25;;;;
BHD1462;2.2;;;SPT;2.20m: (18, 29, 21/40) N>50;>50;;;;
BHD1462;2.55;;;SPT;2.55m: (25/25) N>50;>50;;;;
BHD1462;3.2;;;SPT;3.20m: (6, 16, 16) N=32;32;;;;
BHD1462;4.2;;;SPT;4.20m: (16, 22, 30) N>50;>50;;;;
BHD1462;5.5;;;SPT;5.50m: (22, 50/125) N>50;>50;;;;
BHD1462;6.2;;;SPT;6.20m: (22, 50/115) N>50;>50;;;;
BHD1462;7.2;;;SPT;7.20m: (17, 48/150) N>50;>50;;;;
BHD1462;8.2;;;SPT;8.20m: (11, 16, 24) N=40;40;;;;
BHD1462;9.7;;;SPT;9.70m: (12, 18, 32) N=50;50;;;;
BHD1462;11.2;;;SPT;11.20m: (7, 10, 12) N=22;22;;;;
BHD1462;12.7;;;SPT;12.70m: (8, 14, 16) N=30;30;;;;
BHD1462;13.7;;;SPT;13.70m: (23, 48/150) N>50;>50;;;;
BHD1463;1.2;;;SPT;1.20m: (13, 28, 19) N=47;47;;;;
BHD1463;2.25;;;SPT;2.25m: (13, 19, 20) N=39;39;;;;
BHD1463;3.25;;;SPT;3.25m: (15, 14, 24/75) N>50;>50;;;;
BHD1463;4.25;;;SPT;4.25m: (12, 21, 25) N=46;46;;;;
BHD1463;5.25;;;SPT;5.25m: (14, 30, 19) N=49;49;;;;
BHD1464;1.2;;;SPT;1.20m: (9, 11, 12) N=23;23;;;;
BHD1464;3.2;;;SPT;3.20m: (6, 9, 12) N=21;21;;;;
BHD1464;4.2;;;SPT;4.20m: (17, 20, 12) N=32;32;;;;
BHD1464;5.7;;;SPT;5.70m: (12, 19, 16) N=35;35;;;;
BHD1464;7.2;;;SPT;7.20m: (10, 16, 20) N=36;36;;;;
BHD1464;8.7;;;SPT;8.70m: (9, 14, 21) N=35;35;;;;
BHD1464;10.2;;;SPT;10.20m: (6, 16, 22) N=38;38;;;;
BHD1464;11.7;;;SPT;11.70m: (4, 11, 24) N=35;35;;;;
BHD1464;13.2;;;SPT;13.20m: (5, 11, 23) N=34;34;;;;
BHD1464;14.7;;;SPT;14.70m: (3, 9, 20) N=29;29;;;;
BHD1464;16.2;;;SPT;16.20m: (18, 35, 15/70) N>50;>50;;;;
BHD1464;17.7;;;SPT;17.70m: (10, 24, 26/110) N>50;>50;;;;
BHD1464;19.2;;;SPT;19.20m: (8, 22, 35/140) N>50;>50;;;;
BHD1464;20.7;;;SPT;20.70m: (25, 50/65) N>50;>50;;;;
BHD1465;1.2;;;SPT;1.20m: (6, 8, 14) N=22;22;;;;
BHD1465;2.7;;;SPT;2.70m: (21, 12, 9) N=21;21;;;;
BHD1465;4.2;;;SPT;4.20m: (4, 11, 10) N=21;21;;;;
BHD1465;5.7;;;SPT;5.70m: (19, 27, 23/120) N>50;>50;;;;
BHD1465;7.2;;;SPT;7.20m: (16, 31, 19/80) N>50;>50;;;;
BHD1465;8.7;;;SPT;8.70m: (9, 17, 23) N=40;40;;;;
BHD1465;10.2;;;SPT;10.20m: (2, 2, 8) N=10;10;;;;
BHD1465;11.7;;;SPT;11.70m: (3, 4, 4) N=8;8;;;;
BHD1465;13.2;;;SPT;13.20m: (5, 10, 3) N=13;13;;;;
BHD1465;14.7;;;SPT;14.70m: (8, 9, 6) N=15;15;;;;
BHD1465;16.2;;;SPT;16.20m: (4, 2, 4) N=6;6;;;;
BHD1465;17.7;;;SPT;17.70m: (2, 2, 3) N=5;5;;;;
BHD1465;19.2;;;SPT;19.20m: (25, 29/55) N>50;>50;;;;
BHD1465;20.7;;;SPT;20.70m: (25, 50/70) N>50;>50;;;;
BHD1465;22.2;;;SPT;22.20m: (8, 9, 10) N=19;19;;;;
BHD1465;23.9;;;SPT;23.90m: (25, 50/50) N>50;>50;;;;
BHD1465;25.3;;;SPT;25.30m: (25, 50/45) N>50;>50;;;;
BHD1466;1.2;;;SPT;1.20m: (0, 0, 0) N=0;0;;;;
BHD1466;2.2;;;SPT;2.20m: (0, 0, 0) N=0;0;;;;
BHD1466;2.9;;;SPT;2.90m: (12, 12, 12) N=24;24;;;;
BHD1466;3.9;;;SPT;3.90m: (17, 16, 10) N=26;26;;;;
BHD1466;4.9;;;SPT;4.90m: (15, 15, 11) N=26;26;;;;
BHD1466;5.9;;;SPT;5.90m: (25, 50/25) N>50;>50;;;;
BHD1466;6.2;;;SPT;6.20m: (16, 13, 14) N=27;27;;;;
BHD1466;7.2;;;SPT;7.20m: (11, 16, 21) N=37;37;;;;
BHD1466;8.2;;;SPT;8.20m: (11, 18, 26) N=44;44;;;;
BHD1466;9.7;;;SPT;9.70m: (20, 50/120) N>50;>50;;;;
BHD1466;11.2;;;SPT;11.20m: (11, 7, 9) N=16;16;;;;
BHD1466;12.7;;;SPT;12.70m: (6, 8, 10) N=18;18;;;;
BHD1466;14.2;;;SPT;14.20m: (6, 10, 17) N=27;27;;;;
BHD1467;1.2;;;SPT;1.20m: (25, 44, 6/25) N>50;>50;;;;
BHD1467;2.7;;;SPT;2.70m: (25, 48, 2/10) N>50;>50;;;;
BHD1467;4.2;;;SPT;4.20m: (25, 50/150) N>50;>50;;;;
BHD1467;5.7;;;SPT;5.70m: (24, 39, 11/35) N>50;>50;;;;
BHD1467;7.2;;;SPT;7.20m: (16, 19, 12) N=31;31;;;;
BHD1467;8.7;;;SPT;8.70m: (19, 9, 14) N=23;23;;;;
BHD1467;10.2;;;SPT;10.20m: (21, 19, 16) N=35;35;;;;
BHD1467;11.7;;;SPT;11.70m: (21, 26, 24/120) N>50;>50;;;;
BHD1468;1.2;;;SPT;1.20m: (2, 2, 5) N=7;7;;;;
BHD1468;2.7;;;SPT;2.70m: (4, 3, 5) N=8;8;;;;
BHD1468;4.2;;;SPT;4.20m: (16, 17, 17) N=34;34;;;;
BHD1468;5.7;;;SPT;5.70m: (25, 33, 17/35) N>50;>50;;;;
BHD1468;7.2;;;SPT;7.20m: (22, 40, 10/20) N>50;>50;;;;
BHD1468;8.7;;;SPT;8.70m: (10, 18, 26) N=44;44;;;;
BHD1468;10.2;;;SPT;10.20m: (13, 26, 24/130) N>50;>50;;;;
BHD1468;11.7;;;SPT;11.70m: (11, 20, 27) N=47;47;;;;
BHD1468;13.2;;;SPT;13.20m: (5, 12, 30) N=42;42;;;;
BHD1468;14.7;;;SPT;14.70m: (5, 12, 22) N=34;34;;;;
BHD1469;1.2;;;SPT;1.20m: (0, 0, 2) N=2;2;;;;
BHD1469;2.7;;;SPT;2.70m: (17, 15, 10) N=25;25;;;;
BHD1469;4.2;;;SPT;4.20m: (14, 25, 17) N=42;42;;;;
BHD1469;5.7;;;SPT;5.70m: (9, 19, 25) N=44;44;;;;
BHD1469;7.2;;;SPT;7.20m: (3, 4, 4) N=8;8;;;;
BHD1469;8.7;;;SPT;8.70m: (3, 4, 4) N=8;8;;;;
BHD1469;10.2;;;SPT;10.20m: (16, 31, 19/80) N>50;>50;;;;
BHD1469;11.7;;;SPT;11.70m: (6, 17, 29) N=46;46;;;;
BHD1469;13.2;;;SPT;13.20m: (4, 13, 29) N=42;42;;;;
BHD1469;14.7;;;SPT;14.70m: (5, 17, 27) N=44;44;;;;
BHD1469;16.2;;;SPT;16.20m: (25, 22/125) N>50;>50;;;;
BHD1469;17.7;;;SPT;17.70m: (25, 36, 14/50) N>50;>50;;;;
BHD1469;19.4;;;SPT;19.40m: (25, 44, 6/15) N>50;>50;;;;
BHD1470;1.2;;;SPT;1.20m: (1, 0, 0) N=0;0;;;;
BHD1470;2.2;;;SPT;2.20m: (0, 0, 0) N=0;0;;;;
BHD1470;3.3;;;SPT;3.30m: (8, 11, 12) N=23;23;;;;
BHD1470;4.3;;;SPT;4.30m: (13, 16, 17) N=33;33;;;;
BHD1470;5;;;SPT;5.00m: (12, 17, 18) N=35;35;;;;
BHD1470;6;;;SPT;6.00m: (14, 17, 18) N=35;35;;;;
BHD1470;7;;;SPT;7.00m: (6, 11, 11) N=22;22;;;;
BHD1470;8;;;SPT;8.00m: (7, 10, 13) N=23;23;;;;
BHD1470;9.5;;;SPT;9.50m: (12, 15, 15) N=30;30;;;;
BHD1470;11;;;SPT;11.00m: (7, 12, 17) N=29;29;;;;
BHD1470;12.5;;;SPT;12.50m: (11, 11, 11) N=22;22;;;;
BHD1470;13.6;;;SPT;13.60m: (7, 12, 18) N=30;30;;;;
BHD1470;15.8;;;SPT;15.80m: (8, 8, 14) N=22;22;;;;
BHD1470;17.3;;;SPT;17.30m: (8, 11, 10) N=21;21;;;;
BHD1470;18.8;;;SPT;18.80m: (6, 12, 11) N=23;23;;;;
BHD1470;20.3;;;SPT;20.30m: (5, 4, 6) N=10;10;;;;
BHD1470;21.9;;;SPT;21.90m: (6, 8, 8) N=16;16;;;;
BHD1470;23.35;;;SPT;23.35m: (5, 10, 10) N=20;20;;;;
BHD1470;25;;;SPT;25.00m: (6, 10, 12) N=22;22;;;;
BHD1470;26;;;SPT;26.00m: (11, 17, 17) N=34;34;;;;
BHD1470;27.6;;;SPT;27.60m: (14, 50/120) N>50;>50;;;;
BHD1470;28.4;;;SPT;28.40m: (25, 50/20) N>50;>50;;;;
BHD1470;28.55;;;SPT;28.55m: (25/20) N>50;>50;;;;
BHD1471;1.2;;;SPT;1.20m: (19, 31, 25/15) N>50;>50;;;;
BHD1471;2;;;SPT;2.00m: (25, 31, 29) N>50;>50;;;;
BHD1472;1.2;;;SPT;1.20m: (0, 0, 0) N=0;0;;;;
BHD1472;2;;;SPT;2.00m: (6, 11, 18) N=29;29;;;;
BHD1472;3;;;SPT;3.00m: (5, 5, 10) N=15;15;;;;
BHD1473;1.2;;;SPT;1.20m: (4, 6, 4) N=10;10;;;;
BHD1473;3;;;SPT;3.00m: (22, 36, 31) N>50;>50;;;;
BHD1473;4;;;SPT;4.00m: (7, 5, 10) N=15;15;;;;
BHD1474;1.2;;;SPT;1.20m: (14, 10, 6) N=16;16;;;;
BHD1474;4;;;SPT;4.00m: (6, 7, 6) N=13;13;;;;
BHD1475;2;;;SPT;2.00m: (11, 20, 28) N=48;48;;;;
BHD1476;1.2;;;SPT;1.20m: (0, 0, 0) N=0;0;;;;
BHD1476;2.7;;;SPT;2.70m: (0, 0, 0) N=0;0;;;;
BHD1476;4.2;;;SPT;4.20m: (9, 21, 20) N=41;41;;;;
BHD1476;5.7;;;SPT;5.70m: (7, 24, 23) N=47;47;;;;
BHD1476;7.2;;;SPT;7.20m: (18, 17, 11) N=28;28;;;;
BHD1476;8.7;;;SPT;8.70m: (25, 41, 9/50) N>50;>50;;;;
BHD1476;10.1;;;SPT;10.10m: (25, 50/145) N>50;>50;;;;
BHD1477;5.4;;;SPT;5.40m: (2, 4, 5) N=9;9;;;;
BHD1477;7;;;SPT;7.00m: (4, 7, 13) N=20;20;;;;
BHD1478;1.2;;;SPT;1.20m: (0, 0, 0) N=0;0;;;;
BHD1478;3.6;;;SPT;3.60m: (1, 3, 5) N=8;8;;;;
BHD1478;5.3;;;SPT;5.30m: (5, 10, 8) N=18;18;;;;
BHD1478;7;;;SPT;7.00m: (4, 7, 10) N=17;17;;;;
BHD1478;8.7;;;SPT;8.70m: (15, 6, 11) N=17;17;;;;
BHD1478;10.2;;;SPT;10.20m: (2, 2, 30) N=32;32;;;;
BHD1478;11.7;;;SPT;11.70m: (6, 10, 17) N=27;27;;;;
BHD1479;1.2;;;SPT;1.20m: (13, 16, 21) N=37;37;;;;
BHD1479;2.7;;;SPT;2.70m: (25, 28, 22/135) N>50;>50;;;;
BHD1479;4.2;;;SPT;4.20m: (10, 16, 21) N=37;37;;;;
BHD1479;5.7;;;SPT;5.70m: (22, 42, 8/15) N>50;>50;;;;
BHD1479;8.7;;;SPT;8.70m: (12, 25, 25/145) N>50;>50;;;;
BHD1479;10.2;;;SPT;10.20m: (25, 50/75) N>50;>50;;;;
BHD1480;1.2;;;SPT;1.20m: (3, 13, 30) N=43;43;;;;
BHD1480;2.7;;;SPT;2.70m: (13, 16, 34/140) N>50;>50;;;;
BHD1480;4.1;;;SPT;4.10m: (25, 37, 13/15) N>50;>50;;;;
BHD1480;5.7;;;SPT;5.70m: (15, 43, 7/30) N>50;>50;;;;
BHD1550;1.2;;;SPT;1.20m: (1, 1, 0) N=1;1;;;;
BHD1550;2.2;;;SPT;2.20m: (1, 0, 1) N=1;1;;;;
BHD1550;3.2;;;SPT;3.20m: (2, 3, 3) N=6;6;;;;
BHD1550;3.8;;;SPT;3.80m: (3, 4, 6) N=10;10;;;;
BHD1550;5.6;;;SPT;5.60m: (9, 8, 11) N=19;19;;;;
BHD1550;7.3;;;SPT;7.30m: (11, 21, 16) N=37;37;;;;
BHD1551;1.2;;;SPT;1.20m: (11, 14, 16) N=30;30;;;;
BHD1551;2.75;;;SPT;2.75m: (9, 50/150) N>50;>50;;;;
BHD1551;4.25;;;SPT;4.25m: (15, 31, 19/70) N>50;>50;;;;
BHD1551;5.7;;;SPT;5.70m: (21, 41, 9/35) N>50;>50;;;;
BHD1551;7.2;;;SPT;7.20m: (25, 45, 5/25) N>50;>50;;;;
BHD1552;1.2;;;SPT;1.20m: (25, 37, 13/55) N>50;>50;;;;
BHD1552;2.7;;;SPT;2.70m: (25, 19, 24) N>50;>50;;;;
BHD1552;4.2;;;SPT;4.20m: (9, 11, 12) N=23;23;;;;
BHD1552;5.7;;;SPT;5.70m: (13, 22, 21) N=43;43;;;;
BHD1552;7.2;;;SPT;7.20m: (18, 19, 14) N=33;33;;;;
BHD1552;8.7;;;SPT;8.70m: (10, 8, 8) N=16;16;;;;
BHD1552;10;;;SPT;10.00m: (24, 24, 26/145) N>50;>50;;;;
BHD1554;1.2;;;SPT;1.20m: (10, 14, 14) N=28;28;;;;
BHD1554;2.7;;;SPT;2.70m: (23, 15, 9) N=24;24;;;;
BHD1554;4.2;;;SPT;4.20m: (8, 17, 19) N=36;36;;;;
BHD1554;5.7;;;SPT;5.70m: (12, 12, 14) N=26;26;;;;
BHD1554;7.2;;;SPT;7.20m: (25, 28/47) N>50;>50;;;;
BHD1554;8.7;;;SPT;8.70m: (25, 50/95) N>50;>50;;;;
BHD1554;10.2;;;SPT;10.20m: (24, 50/105) N>50;>50;;;;
BHD1554;11.7;;;SPT;11.70m: (14, 50/130) N>50;>50;;;;
BHD1554;13.2;;;SPT;13.20m: (12, 38, 12/25) N>50;>50;;;;
BHD1556;1.2;;;SPT;1.20m: (25, 50/110) N>50;>50;;;;
BHD1556;2.7;;;SPT;2.70m: (16, 16, 16) N=32;32;;;;
BHD1556;4.2;;;SPT;4.20m: (21, 13, 16) N=29;29;;;;
BHD1556;5.7;;;SPT;5.70m: (25, 42, 8/30) N>50;>50;;;;
BHD1556;7.2;;;SPT;7.20m: (23, 28, 22/125) N>50;>50;;;;
BHD1556;8.7;;;SPT;8.70m: (25, 46, 4/60) N>50;>50;;;;
BHD1556;10.25;;;SPT;10.25m: (25, 50/90) N>50;>50;;;;
BHD1556;11.7;;;SPT;11.70m: (6, 34, 16/35) N>50;>50;;;;
BHD1556;13.2;;;SPT;13.20m: (14, 20, 24) N=44;44;;;;
BHD1556;14.7;;;SPT;14.70m: (22, 33, 17/20) N>50;>50;;;;
BHD1557;1.2;;;SPT;1.20m: (25, 50/90) N>50;>50;;;;
BHD1557;2.7;;;SPT;2.70m: (15, 15, 35) N=50;50;;;;
BHD1557;4.2;;;SPT;4.20m: (14, 11, 9) N=20;20;;;;
BHD1557;5.7;;;SPT;5.70m: (9, 12, 21) N=33;33;;;;
BHD1557;7.2;;;SPT;7.20m: (16, 30, 20/60) N>50;>50;;;;
BHD1557;8.7;;;SPT;8.70m: (25, 44, 6/20) N>50;>50;;;;
BHD1557;10.2;;;SPT;10.20m: (25, 43, 7/25) N>50;>50;;;;
BHD1557;11.7;;;SPT;11.70m: (24, 38, 12/35) N>50;>50;;;;
BHD1557;13.2;;;SPT;13.20m: (23, 50/145) N>50;>50;;;;
BHD1557;14.7;;;SPT;14.70m: (18, 32, 18/65) N>50;>50;;;;
BHD1558;1.2;;;SPT;1.20m: (7, 16, 35) N>50;>50;;;;
BHD1558;2.2;;;SPT;2.20m: (9, 25, 31) N>50;>50;;;;
BHD1558;3.2;;;SPT;3.20m: (4, 8, 12) N=20;20;;;;
BHD1558;4.2;;;SPT;4.20m: (16, 14, 17) N=31;31;;;;
BHD1558;5.2;;;SPT;5.20m: (24/150) N>50;>50;;;;
BHD1558;5.3;;;SPT;5.30m: (25/10) N>50;>50;;;;
BHD1559;1.2;;;SPT;1.20m: (25, 50/120) N>50;>50;;;;
BHD1559;2.7;;;SPT;2.70m: (22, 16, 13) N=29;29;;;;
BHD1559;4.2;;;SPT;4.20m: (20, 28, 22/100) N>50;>50;;;;
BHD1559;5.7;;;SPT;5.70m: (12, 13, 11) N=24;24;;;;
BHD1559;7.2;;;SPT;7.20m: (18, 21, 29/140) N>50;>50;;;;
BHD1559;8.7;;;SPT;8.70m: (25, 50/45) N>50;>50;;;;
BHD1559;10.2;;;SPT;10.20m: (4, 27, 23/45) N>50;>50;;;;
BHD1559;11.7;;;SPT;11.70m: (18, 29, 21/70) N>50;>50;;;;
BHD1560;1.2;;;SPT;1.20m: (17, 22, 20) N=42;42;;;;
BHD1560;2.7;;;SPT;2.70m: (18, 14, 14) N=28;28;;;;
BHD1560;4.2;;;SPT;4.20m: (22, 16, 7) N=23;23;;;;
BHD1560;5.7;;;SPT;5.70m: (23, 23, 18) N=41;41;;;;
BHD1560;7.2;;;SPT;7.20m: (10, 15, 21) N=36;36;;;;
BHD1560;8.7;;;SPT;8.70m: (11, 11, 13) N=24;24;;;;
BHD1560;10.2;;;SPT;10.20m: (11, 11, 13) N=24;24;;;;
BHD1560;11.7;;;SPT;11.70m: (25, 50/55) N>50;>50;;;;
BHD1561;1.2;;;SPT;1.20m: (10, 22, 25) N=47;47;;;;
BHD1561;2.7;;;SPT;2.70m: (20, 23, 19) N=42;42;;;;
BHD1561;4.2;;;SPT;4.20m: (23, 21, 24) N=45;45;;;;
BHD1561;5.7;;;SPT;5.70m: (16, 11, 15) N=26;26;;;;
BHD1561;7.2;;;SPT;7.20m: (11, 13, 10) N=23;23;;;;
BHD1561;8.8;;;SPT;8.80m: (25, 50/55) N>50;>50;;;;
BHD1562;1.2;;;SPT;1.20m: (16, 37, 13/55) N>50;>50;;;;
BHD1562;2.7;;;SPT;2.70m: (21, 12, 10) N=22;22;;;;
BHD1562;4.2;;;SPT;4.20m: (5, 7, 10) N=17;17;;;;
BHD1562;5.7;;;SPT;5.70m: (25, 35, 15/60) N>50;>50;;;;
BHD1562;7.2;;;SPT;7.20m: (16, 18, 17) N=35;35;;;;
BHD1562;8.6;;;SPT;8.60m: (25, 28, 22/110) N>50;>50;;;;
BHD1562;10.2;;;SPT;10.20m: (25, 50/100) N>50;>50;;;;
BHD1562;11.7;;;SPT;11.70m: (25, 42, 8/10) N>50;>50;;;;
BHD1563;1.2;;;SPT;1.20m: (10, 11, 14) N=25;25;;;;
BHD1563;2.7;;;SPT;2.70m: (3, 5, 4) N=9;9;;;;
BHD1563;4.05;;;SPT;4.05m: (11, 50/140) N>50;>50;;;;
BHD1564;1.2;;;SPT;1.20m: (5, 7, 8) N=15;15;;;;
BHD1564;2;;;SPT;2.00m: (8, 11, 9) N=20;20;;;;
BHD1564;3;;;SPT;3.00m: (8, 9, 11) N=20;20;;;;
BHD1564;4;;;SPT;4.00m: (13, 22, 32) N>50;>50;;;;
BHD1564;5;;;SPT;5.00m: (23, 51/85) N>50;>50;;;;
BHD1565;1.3;;;SPT;1.30m: (4, 6, 8) N=14;14;;;;
BHD1565;2.7;;;SPT;2.70m: (10, 18, 15) N=33;33;;;;
BHD1565;4.2;;;SPT;4.20m: (12, 14, 10) N=24;24;;;;
BHD1565;5.7;;;SPT;5.70m: (5, 7, 8) N=15;15;;;;
BHD1565;7.2;;;SPT;7.20m: (6, 23, 25) N=48;48;;;;
BHD1565;8.7;;;SPT;8.70m: (2, 7, 11) N=18;18;;;;
BHD1565;10.05;;;SPT;10.05m: (22, 50/80) N>50;>50;;;;
BHD1566;1.2;;;SPT;1.20m: (7, 16, 20) N=36;36;;;;
BHD1566;2.7;;;SPT;2.70m: (7, 9, 5) N=14;14;;;;
BHD1566;4.2;;;SPT;4.20m: (3, 3, 3) N=6;6;;;;
BHD1566;5.7;;;SPT;5.70m: (0, 2, 12) N=14;14;;;;
BHD1566;7.2;;;SPT;7.20m: (18, 28, 18) N=46;46;;;;
BHD1566;8.7;;;SPT;8.70m: (25, 50/20) N>50;>50;;;;
BHD1567;1.2;;;SPT;1.20m: (4, 3, 4) N=7;7;;;;
BHD1567;2.7;;;SPT;2.70m: (5, 8, 12) N=20;20;;;;
BHD1567;4.2;;;SPT;4.20m: (7, 9, 6) N=15;15;;;;
BHD1567;5.7;;;SPT;5.70m: (15, 8, 7) N=15;15;;;;
BHD1567;7.2;;;SPT;7.20m: (14, 14, 12) N=26;26;;;;
BHD1567;8.7;;;SPT;8.70m: (25, 50/140) N>50;>50;;;;
BHD1568;1.2;;;SPT;1.20m: (2, 5, 3) N=8;8;;;;
BHD1568;2;;;SPT;2.00m: (1, 1, 5) N=6;6;;;;
BHD1568;3;;;SPT;3.00m: (4, 8, 5) N=13;13;;;;
BHD1568;4;;;SPT;4.00m: (5, 6, 7) N=13;13;;;;
BHD1568;5;;;SPT;5.00m: (3, 6, 8) N=14;14;;;;
BHD1568;6;;;SPT;6.00m: (30, 50/150) N>50;>50;;;;
