ID;Depth from;Depth to;Soil Type;Soil Description;USCS
BHD1455;0.8;3;GRAVEL SILTY SANDY COBBLY;Brown very sandy silty gravelly fine to coarse subrounded to rounded GRAVEL of mixed lithologies including schist, psammite and granite with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of granite;
BHD1455;3;4.9;SILT SANDY GRAVELLY;Dense greyish brown slightly gravelly sandy SILT of intermediate plasticty. Sand is fine to coarse. Gravel is fine to coarse subrounded to rounded of mixed lithologies including schist, psammite and granite;
BHD1455;4.9;6.7;SAND SILTY GRAVELLY;Greyish brown very gravelly very silty fine to coarse SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including schist, psammite and granite;
BHD1455;6.7;8.3;SAND SILTY GRAVELLY COBBLY;Dense reddish brown very gravelly very silty fine to coarse SAND with cobbles. Gravel is fine to coarse subrounded to rounded of mixed lithologies including schist, psammite and granite. Cobbles are subrounded of mixed lithologies including schist, psammite and granite;
BHD1456;0;0.45;TOPSOIL;TOPSOIL (brown silty fine to coarse sand with frequent rootlets);
BHD1456;0.45;6.1;GRAVEL SILTY SANDY;Brown very sandy silty fine to coarse subrounded to rounded GRAVEL of mixed lithologies including sandstone and schist;
BHD1457;0;0.4;TOPSOIL;TOPSOIL (brown slightly silty very gravelly fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including gneiss, psammite and sandstone;
BHD1457;0.4;6;GRAVEL SILTY SANDY COBBLY;Brown very sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and hornfels with cobbles. Sand is fine to coarse. Cobbles are subrounded to rounded of sandstone and psammite;
BHD1458;0;0.05;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and granite);
BHD1458;0.05;1.7;GRAVEL SILTY SANDY COBBLY;Brown very silty fine to coarse SAND and fine to coarse subrounded to rounded GRAVEL of mixed lithologies including granite, hornfells and gneiss with cobbles. Cobbles are subrounded to rounded of granite;
